Species,10018_1#1
Total,396971
Unclassified,69.58
"Actinobacillus pleuropneumoniae serovar 3",4.13
"Actinobacillus pleuropneumoniae serovar 3 str. JL03",4.03
"Actinobacillus pleuropneumoniae serovar 7",1.99
"Actinobacillus pleuropneumoniae serovar 7 str. AP76",1.89
"Actinobacillus pleuropneumoniae serovar 5",1.09
"Actinobacillus pleuropneumoniae serovar 5b str. L20",1.02
"Actinobacillus suis H91-0380",0.20
"Haemophilus parainfluenzae T3T1",0.11
"Haemophilus influenzae R2846",0.04
"Haemophilus influenzae R2866",0.03
"Bibersteinia trehalosi USDA-ARS-USMARC-192",0.01
